Program Name,Category,Agency Name,Bureau Name,Funding Amount,Funding Amount Notes,Period of Availability,Funding Mechanism,New Program (Yes/No),Recipients,Program Description,Eligible Uses,Next Program Milestone,sam.gov link,Statutory Location,Federal Cost Share Requirement
Appalachian Area Development: Allocations to ARC States,Other,Appalachian Regional Commission,Appalachian Regional Commission,"$100,000,000",,Available until expended,"Grant, Cooperative Agreement",No,"States and local governments, Non-Profits both with and without 501c3 status","Program will provide Area Base Development Program grant allocations to Appalachian Regional Commission States for activities that help bring the 13-State Appalachian Region into economic parity with the Nation. Each State will operate its own competitive application process. The Appalachian Regional Commission States are Alabama, Georgia, Kentucky, Maryland, Mississippi, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Virginia, and West Virginia.",Eligible uses will support the Appalachian Regional Commission goals of Building Appalachian Businesses; Building Appalachia’s Workforce Ecosystem; Building Appalachia’s Infrastructure; Building Regional Culture and Tourism; and Building Community Leaders and Capacity.,Additional Round of Funding Allocated / Selections Announced in ,https://sam.gov/fal/79b153c4f515bd8af6a3842c3f710cff/view,"Division J, Title III","Maximum Appalachian Regional Commission share ranges from 30 percent-80 percent, depending on the county’s level of economic distress. Appalachian Regional Commission participation can increase the allowable Federal share up to 100 percent in a grant"
Appalachian Area Development: Community Capacity Initiative,Other,Appalachian Regional Commission,Appalachian Regional Commission,"$10,000,000",,Available until expended,"Grant, Cooperative Agreement",No,"States and local governments, Non-Profits both with and without 501c3 status","Program will build capacity throughout Appalachian communities to enable communities to deploy the substantially increased funding opportunities provided by the Federal Government. Funds will be used for development of large-scale project development assistance including, but not limited to, continuing and expanding on the Commission’s current community capacity pilot, providing significant amounts in direct support to Non-Profits, State/Local Governments, and Local Development Districts for community capacity activities, and deploy resources flexibly to meet the growing need for community-specific capacity activities.",Eligible uses will support the Appalachian Regional Commission goals of Building Appalachian Businesses; Building Appalachia’s Workforce Ecosystem; Building Appalachia’s Infrastructure; Building Regional Culture and Tourism; and Building Community Leaders and Capacity.,RFP Released,https://sam.gov/fal/79b153c4f515bd8af6a3842c3f710cff/view,"Division J, Title III","Maximum Appalachian Regional Commission share ranges from 30 percent-80 percent, depending on the county’s level of economic distress. Appalachian Regional Commission participation can increase the allowable Federal share up to 100 percent in a grant"
Appalachian Area Development: Regional MultiState Initiative,Other,Appalachian Regional Commission,Appalachian Regional Commission,"$80,000,000",,Available until expended,"Grant, Cooperative Agreement",No,"States and local governments, Non-Profits both with and without 501c3 status",Program will provide support for multiState regional economic and community development projects throughout the Appalachian Regional Commission region through planning and implementation grants reviewed and awarded on a rolling basis.,Eligible uses will support the Appalachian Regional Commission goals of Building Appalachian Businesses; Building Appalachia’s Workforce Ecosystem; Building Appalachia’s Infrastructure; Building Regional Culture and Tourism; and Building Community Leaders and Capacity.,RFP Released,https://sam.gov/fal/79b153c4f515bd8af6a3842c3f710cff/view,"Division J, Title III","Maximum Appalachian Regional Commission share ranges from 30 percent-80 percent, depending on the county’s level of economic distress. Appalachian Regional Commission participation can increase the allowable Federal share up to 100 percent in a grant"
Appalachian Development Highway System,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$1,250,000,000",,Available until expended,Formula grant to specific States in this region,No,Appalachian States,The Appalachian Development Highway System Program will distribute funds for construction of the Appalachian Development Highway System by formula to States with one or more counties (including any political subdivision within the area) in the Appalachian Region.,Construction of specific projects to complete the Appalachian Development Highway System,Additional Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11132,No non-Federal cost share required
Appalachian Development Public Transportation Assistance Program,Public Transportation,Department of Transportation,Federal Transit Administration,"$137,437,828",,Year of Apportionment + two years,Formula Grant,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally recognized), Nonprofits with 501(c)(3) status, Nonprofits - without 501(c)(3) status",Provides funding to States in the Appalachian region to support the provision of public transit services in rural areas.,"Planning, Capital, Operating Assistance",Additional Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/7bec83870b5743deb7f9b2a0ed87ce53/view,30017,Varies
Appalachian Regional Commission Funds,Other,Appalachian Regional Commission,Appalachian Regional Commission,"$800,000,000",,Available until expended,"Grant, Cooperative Agreement",No,"States and local governments, Non-Profits both with and without 501c3 status","The Appalachian Regional Commission is engaged in planning for the allocation of Bipartisan Infrastructure Law advance appropriations for fiscal years 2023, 2024, 2025 and 2026. Programs funded by those appropriations will support activities that help bring the 13-State Appalachian Region into economic parity with the Nation. The Appalachian Regional Commission States are Alabama, Georgia, Kentucky, Maryland, Mississippi, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Virginia, and West Virginia.",Eligible uses are expected to support the Appalachian Regional Commission goals of Building Appalachian Businesses; Building Appalachia’s Workforce Ecosystem; Building Appalachia’s Infrastructure; Building Regional Culture and Tourism; and Building Community Leaders and Capacity.,To be determined,https://sam.gov/fal/79b153c4f515bd8af6a3842c3f710cff/view,"Division J, Title III","Maximum Appalachian Regional Commission share ranges from 30 percent-80 percent, depending on the county’s level of economic distress. Appalachian Regional Commission participation can increase the allowable Federal share up to 100 percent in a grant"
Aquatic Ecosystem Restoration And Protection Projects,Resilience,Department of the Interior,Bureau of Reclamation,"$250,000,000",,Available until expended,"Grant, Direct Federal Spending",Yes,Open,"The Aquatic Ecosystem restoration program is a new program currently under development. This funding will support design, study and construction of aquatic ecosystem restoration and protection projects.","Projects that improve the health of fisheries, wildlife or aquatic habitat, including through habitat restoration, and improved fish passage through the removal or bypass of barriers to fish passage.",NOFO Open in Fall 2022,,40901,35% for construction
Aquatic Ecosystem Restoration Projects,Resilience,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$1,900,000,000",,Available until expended,Direct Federal,No,"In partnership with State, local, and Tribal governments the Army Corps would use funding to construct Federally authorized aquatic ecosystem restoration projects.","This program funds the construction of authorized water resources projects to increase aquatic ecosystem restoration, including $1 billion for multi-purpose projects or programs that include aquatic ecosystem restoration as a purpose.",Authorized Federal aquatic ecosystem restoration projects and programs.,To be determined,,"Division J, Title III","In general, unless otherwise specified in law, projects are cost shared 65 percent Federal, 35 percent non-Federal."
Asset Concessions Innovative Financing Technical Assistance,Other,Department of Transportation,Office of the Secretary,"$100,000,000",,Available until expended,Grant,Yes,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally recognized), Tribal Governments (other than Federally recognized), Independent School Districts, Public Higher-Ed Institutions, Private Higher-Ed Institutions, Public Housing Authorities, Indian Housing Authorities, Nonprofits with 501(c)(3) status, Nonprofits - without 501(c)(3) status, Small Businesses, Businesses (other than small businesses), and / or Individuals",TBD - New Program,"An eligible entity may use amounts made available from a grant under this section for technical assistance to build the organizational capacity of the eligible entity to develop, review, or enter into an asset concession.",NOFO Open in 2022-2023,,71001,100 percent
Assisting Federal Facilities with Energy Conservation Technologies Grant Program,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$250,000,000",,Available until expended,Grant,No,Federal Agencies,To provide grants to Federal agencies that they can leverage with private capital to make energy and water efficiency upgrades to Federal buildings.,To aid Federal agencies in meeting energy and water use requirements to improve sustainability.,FOA Open in Q4 2022,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40554,No non-Federal cost share required
Battery and Critical Mineral Recycling,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$125,000,000",,Available until expended,Grants,Yes,(i) An institution of higher education; (ii) a National Laboratory; (iii) a Federal research agency; (iv) a State research agency; (v) a nonprofit organization; (vi) an industrial entity; (vii) a manufacturing entity; (viii) a private battery-collection entity; (ix) an entity operating one or more battery recycling activities; (x) a State or municipal government entity; (xi) a battery producer; (xii) a battery retailer; or (xiii) a consortium of two or more entities described in (i) through (xii).,"To award grants for research, development, and demonstration projects to create innovative and practical approaches to increase the reuse and recycling of batteries.","Research, development, and demonstration to address (i) recycling activities; (ii) the development of methods to promote the design and production of batteries that take into full account and facilitate the dismantling, reuse, recovery, and recycling of battery components and materials; (iii) strategies to increase consumer acceptance of, and participation in, the recycling of batteries; (iv) the extraction or recovery of critical minerals from batteries that are recycled; (v) the integration of increased quantities of recycled critical minerals in batteries and other products to develop markets for recycled battery materials and critical minerals; (vi) safe disposal of waste materials and components recovered during the recycling process; (vii) the protection of the health and safety of all persons involved in, or in proximity to, recycling and reprocessing activities, including communities located near recycling and materials reprocessing facilities; (viii) mitigation of environmental impacts that arise from recycling batteries, including disposal of toxic reagents and byproducts related to recycling processes; (ix) protection of data privacy associated with collected covered battery-containing products; (x) the optimization of the value of material derived from recycling batteries; and (xi) the cost-effectiveness and benefits of the reuse and recycling of batteries and critical minerals.",FOA Open in Q4 2023,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40207,≥20 percent of the total project cost
Battery Labeling Guidelines,Other,Environmental Protection Agency,Environmental Programs and Management,"$15,000,000",,"fiscal year 2022, to remain available until September 30, 2026.",Contracts,Yes,N/A,"This investment will promote the safe handling of used batteries and improve battery recycling programs. Establishes a program to promote battery recycling through the development of voluntary labeling guidelines for batteries and other forms of communication materials for battery producers and consumers about the reuse and recycling of critical materials from batteries. The purposes of the program are to improve battery collection and reduce battery waste, including by identifying battery collection locations and increasing accessibility to those locations; promoting consumer education about battery collection and recycling; and reducing safety concerns relating to the improper disposal of batteries.","Establishes a program to promote battery recycling through the development of voluntary labeling guidelines for batteries and other forms of communication materials for battery producers and consumers about the reuse and recycling of critical materials from batteries. The purposes of the program are to improve battery collection and reduce battery waste, including by identifying battery collection locations and increasing accessibility to those locations; promoting consumer education about battery collection and recycling; and reducing safety concerns relating to the improper disposal of batteries.",To be determined,,"Division J, Title VI",No non-Federal cost share required
Battery Manufacturing and Recycling Grants,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$3,000,000,000",,"$600,000,000 appropriated annually for fiscal years 2022 through 2026 (to remain available until expended)",Grant,Yes,(1) Institutions of higher education. (2) National Laboratories. (3) Nonprofit and for-profit private entities. (4) State and local governments. (5) Consortia of entities described in paragraphs (1) through (4),To provide grants to ensure that the United States has a viable domestic manufacturing and recycling capability to support a North American battery supply chain.,"Demonstration projects, construction of commercial-scale facilities, and retrofit or retooling of existing facilities for battery component manufacturing, advanced battery manufacturing, and recycling.",Funding Opportunity Closed in October 2022,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40207,≥50 percent of the total project cost
Battery Materials Processing Grants,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$3,000,000,000",,"$600,000,000 appropriated annually for fiscal years 2022 through 2026 (to remain available until expended)",Grant,Yes,(1) Institutions of higher education. (2) National Laboratories. (3) Nonprofit and for-profit private entities. (4) State and local governments. (5) Consortia of entities described in (1) through (4),To provide grants for battery materials processing to ensure that the United States has a viable battery materials processing industry. Funds can also be used to expand our domestic capabilities in battery manufacturing and enhance processing capacity.,"Demonstration projects, construction of commercial-scale facilities, and retrofit or retooling of existing battery material processing facilities.",Funding Opportunity Closed in October 2022,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40207,≥50 percent of the total project cost
Battery Recycling Best Practices,Other,Environmental Protection Agency,Environmental Programs and Management,"$10,000,000",,"fiscal year 2022, to remain available until September 30, 2026.",Contracts,Yes,N/A,"This investment will promote the safe handling of used batteries and improve battery recycling programs. The Environmental Protection Agency will develop best practices that may be implemented by State, Tribal, and local governments with respect to the collection of batteries to be recycled in a manner that to the maximum extent practicable, is technically and economically feasible for State, Tribal, and local governments; is environmentally sound and safe for waste management workers; and optimizes the value and use of material derived from recycling of batteries. The Environmental Protection Agency will develop the best practices in coordination with State, Tribal, and local governments and relevant nongovernmental and private sector entities.","The Administrator shall develop best practices that may be implemented by State, Tribal, and local governments with respect to the collection of batteries to be recycled in a manner that to the maximum extent practicable, is technically and economically feasible for State, Tribal, and local governments; is environmentally sound and safe for waste management workers; and optimizes the value and use of material derived from recycling of batteries.",To be determined,,"Division J, Title VI",No non-Federal cost share required
Bioproduct Pilot Program,Other,Department of Agriculture,Office of the Secretary,"$10,000,000",,Available until expended - $5 million in 2022 and $5 million in 2023,Grants - Non-Federal,Yes,Bioproduct research facilities that: a) is funded in part by a State; b) is located within 3 miles from residence halls of an institution of higher education; c) provides opportunities for student involvement in research; d) collaborates with an institution of higher education.,"Determine the economic, social, and environmental benefits of using materials derived from agricultural commodities (bioproducts) in the development and manufacturing of construction or consumer products.",Bioproduct research facilities that: a) is funded in part by a State; b) is located within 3 miles from residence halls of an institution of higher education; c) provides opportunities for student involvement in research; d) collaborates with an institution of higher education.,Funding Opportunity Closed in August 2022,,70501,No non-Federal cost share required
Bridge Formula Program,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$26,675,000,000",,4 year,Formula Grant,Yes,States (including District of Columbia and Puerto Rico),"The Bridge Formula Program will provide funds to States by formula for bridge replacement, rehabilitation, preservation, protection, or construction projects on public roads. This program includes three set-asides: 15 percent will be set-aside for use on off-system bridges; 3 percent will be set-aside for use on Tribal Transportation Facility bridges; and, 0.5 percent will be set-aside for administrative expenses of the Federal Highway Administration. An additional description of the Tribal Transportation Facility set-aside can be found later in this chapter.  ","Replace, rehabilitate, preserve, protect, and construct bridges on public roads.",Additional Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,"Division J, Title VIII","Typically, 80 percent Federal / 20 percent non-Federal (for interstate projects 90 percent Federal/10 percent non-Federal)"
Bridge Investment Program,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$12,200,000,000",,4 year,Competitive Grant,Yes,"State, metropolitan planning organization (representing an area with a population of more than 200,000), local government, special purpose district or public authority with a transportation function, Federal land management agency, Tribal government.","The Bridge Investment Program will support projects to improve bridge and culvert condition, safety, efficiency, and reliability.","Projects to replace, rehabilitate, preserve or protect one or more bridges on the National Bridge Inventory. Projects to replace or rehabilitate culverts to improve flood control and improve habitat connectivity for aquatic species.",Funding Opportunity Closed in Fall 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11101; 11118,"50 percent Federal share/50 percent non-Federal for a large project and 80 percent Federal share/20 percent non-Federal for any other eligible project.
Other Federal assistance may be used to satisfy the non-Federal share of the cost of a project, except the total Federal assistance provided for a project receiving a grant under the Bridge Investment Program may not exceed the Federal share for the project under 23 U.S.C. 120.
For an eligible project for an off-system bridge (defined in 23 U.S.C. 133(f)(1)), Federal assistance other than a grant under this program may be used to satisfy the non-Federal share of the cost of a project, but the total Federal assistance provided for the project shall not exceed 90 percent of the total eligible project costs.
Notwithstanding any other provision of law, a Federal Land Management Agency, a Tribal government, or a consortium of Tribal governments may use Federal funds other than those made available under 23 U.S.C. 124 to pay the remaining share of the cost of a project"
Broadband Deployment Locations Map,Broadband,Federal Communications Commission,Federal Communications Commission,"$10,000,000",,Available until expended,N/A,Yes,N/A,"The Federal Communications Commission shall consult with all relevant Federal agencies to establish an online mapping tool to provide a locations overview of the overall geographic footprint of each broadband infrastructure deployment project funded by the Infrastructure Act, the Coronavirus Aid, Relief and Economic Security Act, the Consolidated Appropriations Act of 2021, the American Rescue Plan Act of 2021 or any other Federal amounts appropriated or any Federal program authorized after the date of enactment of the Infrastructure Act to fund broadband infrastructure deployment.",Mapping,To be determined,,60105,No non-Federal cost share required
